DateTime	Price
2024-09-19 0:00	6.806894320164122e-7
2024-09-26 0:00	6.334418273345435e-7
2024-10-03 0:00	6.447193670623345e-7
2024-10-10 0:00	9.195486468467803e-7
2024-10-17 0:00	8.543160109477906e-7
2024-10-24 0:00	9.35766869394973e-7
2024-10-31 0:00	1.7382E-06
2024-11-07 0:00	2.01502E-06
2024-11-14 0:00	1.24479E-06
2024-11-21 0:00	1.2483E-06
2024-11-28 0:00	1.29034E-06
2024-12-05 0:00	1.16613E-06
2024-12-12 0:00	1.25872E-06
2024-12-19 0:00	1.20272E-06
2024-12-26 0:00	9.436797823035338e-7
2025-01-02 0:00	7.705340358131538e-7
2025-01-09 0:00	8.608733065500646e-7
2025-01-16 0:00	8.033712299894604e-7
2025-01-23 0:00	7.697218738652083e-7
2025-01-30 0:00	8.728022022328517e-7
2025-02-06 0:00	8.313810080767503e-7
2025-02-13 0:00	2.00264E-06
2025-02-20 0:00	1.92173E-06
2025-02-27 0:00	1.7523E-06
2025-03-06 0:00	8.196142201525655e-7
2025-03-13 0:00	8.105205306199181e-7
2025-03-20 0:00	5.46144357404035e-7
2025-03-26 12:43	3.9795754151069927e-7
